taskID,taskTitle,taskPublishDate,organizationID,organizationName,channel,NCImageGUID,ShutterstockImageID,licensedDate
55bbd1f5a783c533456987b4,5 tips to create high-traffic Pinterest boards,7/31/15 19:52,5421c83c1a56de26e84bb012,Office Depot,feed,0c2cb8990c88cb3b727ccf0e4721a1dd,187617323,7/31/15 20:41
55ba64a9d02ec0a40f3ec707,12 tools for sleuthing real estate leads and property owners,7/30/15 18:04,52e1892183a64295640000d3,PNC (Deutsch),feed,8395506b69d3baaabfc5262f193445cc,224427724,7/31/15 19:41
55bb944da85f83f87589172d,Plus-size clothing: Top fashion brands are finally offering sizes and designs for the fuller-figured,7/31/15 15:30,53f208e41a56de26e84baf60,Monster UK,feed,2608895069a496f1781fa0f031dd9e31,217053826,7/31/15 19:41
55bb9659727c1c3372d78c6d,Secret Escapes secures $60m in funding for expansion,7/31/15 15:40,53f208e41a56de26e84baf60,Monster UK,feed,8b2eff8782077c4903beaf6202c06f3f,232490020,7/31/15 19:41
55ba9a5e8f6dad146db6501a,"Quarter of young Brits say Google, Apple, and Amazon would do a better job with banking than their actual bank, according to new survey",7/30/15 21:43,53f208e41a56de26e84baf60,Monster UK,feed,0712e627d7b3960c382eab1125c83f7c,295125974,7/31/15 19:41
55bb951de74a9968330e72ae,Internet-only stores to overtake retail giants' online sales this year,7/31/15 15:32,53f208e41a56de26e84baf60,Monster UK,feed,eaa9fc938f429848fa2d1e70a36ca7eb,235286992,7/31/15 19:41
55bbca701ba5f27a0df39684,Sifting Through the Data: Extracting What Matters When it Comes to Sustainability,7/31/15 19:20,5421c83c1a56de26e84bb012,Office Depot,feed,9416eb88ec55ea2607d3c553ebda3b42,232371526,7/31/15 19:41
55ba81548af540774f5992ed,Pound slips as UK retail sales disappoint,7/30/15 20:07,53f208e41a56de26e84baf60,Monster UK,feed,ddf089b81c58b9937604d619e4f09787,300669854,7/30/15 23:36
55ba831b5423823f1d36e6d0,"As Amazon moves into streaming, what difference does it make? ",7/30/15 20:06,53f208e41a56de26e84baf60,Monster UK,feed,441b131bba18e6ef6b41e50cb0f950e4,272610119,7/30/15 23:36
55ba831b5423823f1d36e6d0,"As Amazon moves into streaming, what difference does it make? ",7/30/15 20:06,53f208e41a56de26e84baf60,Monster UK,feed,441b131bba18e6ef6b41e50cb0f950e4,272610119,7/30/15 23:36
55ba831b5423823f1d36e6d0,"As Amazon moves into streaming, what difference does it make? ",7/30/15 20:06,53f208e41a56de26e84baf60,Monster UK,feed,441b131bba18e6ef6b41e50cb0f950e4,272610119,7/30/15 23:36
55ba831b5423823f1d36e6d0,"As Amazon moves into streaming, what difference does it make? ",7/30/15 20:06,53f208e41a56de26e84baf60,Monster UK,feed,441b131bba18e6ef6b41e50cb0f950e4,272610119,7/30/15 23:36
55ba8208349a32d95be78415,Internet auctioneer Catawiki raises $82m as Dutch start-ups take off,7/30/15 20:13,53f208e41a56de26e84baf60,Monster UK,feed,a67fa0587d10f95114177cb03e847211,211322050,7/30/15 23:36
55ba84af88630ef96b0b4275,Co-op supermarket sales grow for first time in a year as Asda stalls,7/30/15 20:10,53f208e41a56de26e84baf60,Monster UK,feed,8fce1d352c0890dfbf87deeb10ac5c4b,296187359,7/30/15 23:36
55ba98307c4478901f6b1ab3,Why now is a great time to set up a social enterprise,7/30/15 21:33,53f208e41a56de26e84baf60,Monster UK,feed,47288ac4c2d32ee477d114493625bf62,223526311,7/30/15 23:36
55ba42f2b10acec40c0f4ec4,7 Challenges Successful People Overcome,7/30/15 15:30,5421c83c1a56de26e84bb012,Office Depot,feed,5d4aca73f673e6eb41c002545f1524ad,165020942,7/30/15 16:25
55ba3a7ed02ec0a40f3ec69e,How To Be An Intrapreneur: You Can Still Be Nimble And Creative In A Big Company,7/30/15 14:53,5421c83c1a56de26e84bb012,Office Depot,feed,34a6387403a0011a0d23826d5718e64b,13146973,7/30/15 15:26
55ba3c14349a32d95be782c4,The Most Dangerous Phrase In Education,7/30/15 15:00,5421c83c1a56de26e84bb012,Office Depot,feed,03ecedf83637cd69406ce5b959f7a628,225178366,7/30/15 15:26
55ba38263d6c5ada6df9f222,Multi-Tasker Dreams Do Come True: Meet the New Tool That Reads Articles to You,7/30/15 14:43,5421c83c1a56de26e84bb012,Office Depot,feed,57c94b221ac201846a02066410d791ac,240193858,7/30/15 15:26
55ba39ae7c5a02df5d80a30f,The Secret to Being a Better Leader Is Telling Great Stories‰ÛÓHere's How to Start,7/30/15 14:50,5421c83c1a56de26e84bb012,Office Depot,feed,a28aa214d8e1670994697584964934be,294234566,7/30/15 15:26
55ba3f647c5a02df5d80a329,Could ‰Û÷fat‰Ûª cartoon characters be influencing childhood obesity?,7/30/15 15:15,5421c83c1a56de26e84bb012,Office Depot,feed,76705014a991dd9efa26864b23056525,178887905,7/30/15 15:26
55b9183119ec65d041d13537,3 Great States for Retirement,7/29/15 18:17,52e1892183a64295640000d3,PNC (Deutsch),feed,b44ea19480d075119fb20be93efdb6ba,211104811,7/30/15 5:27
